stock_date,is_high_gt_0_25,is_high_gt_0_5,is_high_gt_0_75,is_high_gt_0_8,is_high_gt_0_9,is_high_gt_1,is_high_gt_1_1,is_high_gt_1_2,is_high_gt_1_3,is_high_gt_1_4,is_high_gt_1_5,is_high_gt_1_6,is_high_gt_2
2024-09-19 04:00:00+00:00,1.0,1.0,1.0,1.0,,,,,,,,,
2024-09-20 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2024-09-23 04:00:00+00:00,1.0,1.0,,,,,,,,,,,
2024-09-24 04:00:00+00:00,1.0,,,,,,,,,,,,
2024-09-25 04:00:00+00:00,1.0,1.0,,,,,,,,,,,
2024-09-26 04:00:00+00:00,1.0,1.0,,,,,,,,,,,
2024-09-27 04:00:00+00:00,1.0,1.0,,,,,,,,,,,
2024-09-30 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-10-01 04:00:00+00:00,1.0,1.0,,,,,,,,,,,
2024-10-02 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2024-10-03 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2024-10-04 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,,,,,,,,
2024-10-07 04:00:00+00:00,1.0,1.0,,,,,,,,,,,
2024-10-08 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2024-10-09 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-10-10 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
2024-10-11 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-10-14 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-10-15 04:00:00+00:00,1.0,1.0,,,,,,,,,,,
2024-10-16 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2024-10-17 04:00:00+00:00,1.0,1.0,1.0,,,,,,,,,,
2024-10-18 04:00:00+00:00,1.0,,,,,,,,,,,,
2024-10-21 04:00:00+00:00,1.0,1.0,,,,,,,,,,,
2024-10-22 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2024-10-23 04:00:00+00:00,1.0,1.0,,,,,,,,,,,
2024-10-24 04:00:00+00:00,1.0,1.0,1.0,,,,,,,,,,
2024-10-25 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2024-10-28 04:00:00+00:00,1.0,1.0,,,,,,,,,,,
2024-10-29 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-10-30 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
2024-10-31 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,
2024-11-01 04:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-11-04 05:00:00+00:00,1.0,1.0,1.0,1.0,,,,,,,,,
2024-11-05 05:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-11-06 05:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
2024-11-07 05:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2024-11-08 05:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2024-11-11 05:00:00+00:00,1.0,1.0,,,,,,,,,,,
2024-11-12 05:00:00+00:00,1.0,1.0,,,,,,,,,,,
2024-11-13 05:00:00+00:00,1.0,1.0,1.0,,,,,,,,,,
2024-11-14 05:00:00+00:00,1.0,1.0,,,,,,,,,,,
2024-11-15 05:00:00+00:00,1.0,1.0,1.0,1.0,1.0,,,,,,,,
2024-11-18 05:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2024-11-19 05:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-11-20 05:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
2024-11-21 05:00:00+00:00,1.0,1.0,1.0,1.0,1.0,,,,,,,,
2024-11-22 05:00:00+00:00,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-11-25 05:00:00+00:00,1.0,1.0,1.0,1.0,1.0,,,,,,,,
